Designator,Mid X,Mid Y,Rotation,Layer
C1,114.5,-70.44,0.0,top
C10,129.5,-61.08,90.0,top
C2,93.08,-73.0,0.0,top
C3,93.124888,-79.0,0.0,top
C4,123.459775,-79.69,90.0,top
C5,128.269775,-79.69,270.0,top
C6,134.769775,-82.19,180.0,top
C7,134.769775,-77.19,180.0,top
C8,119.5,-61.5,270.0,top
C9,155.5,-65.0,180.0,top
D1,80.58,-73.0,180.0,top
D2,93.0,-62.5,180.0,top
D3,92.9625,-67.0,180.0,top
J1,213.5,-93.0,0.0,top
J2,149.5,-60.0,0.0,top
J3,149.5,-56.09,0.0,top
J4,139.4,-55.75,270.0,top
J5,81.125,-64.85,0.0,top
LS1,129.25,-52.58,0.0,top
Q1,128.269775,-72.05,0.0,top
R1,99.0,-62.81,90.0,top
R10,96.5,-92.5,90.0,top
R11,104.0,-92.5,90.0,top
R12,111.0,-92.5,90.0,top
R13,118.5,-92.5,90.0,top
R14,124.0,-92.5,90.0,top
R15,129.5,-92.5,90.0,top
R16,135.0,-92.5,90.0,top
R17,140.5,-92.5,90.0,top
R18,148.0,-92.5,90.0,top
R19,155.5,-92.5,90.0,top
R2,108.0,-62.5,270.0,top
R20,162.5,-92.5,90.0,top
R21,168.0,-92.5,90.0,top
R22,173.5,-92.5,90.0,top
R23,181.0,-92.5,90.0,top
R24,188.0,-92.5,90.0,top
R25,195.5,-92.5,90.0,top
R26,201.0,-92.5,90.0,top
R27,206.5,-92.5,90.0,top
R28,123.269775,-68.19,270.0,top
R29,130.769775,-66.19,0.0,top
R3,103.5,-62.81,270.0,top
R30,144.459775,-82.19,0.0,top
R31,144.459775,-77.19,0.0,top
R32,89.0,-62.5,0.0,top
R33,88.9625,-67.0,0.0,top
R34,155.5,-70.0,180.0,top
R35,85.5,-82.5,90.0,top
R36,157.0,-77.19,0.0,top
R37,157.0,-82.19,0.0,top
R4,102.81,-72.94,0.0,top
R5,102.81,-77.44,0.0,top
R6,102.81,-81.94,0.0,top
R7,78.0,-92.5,90.0,top
R8,85.5,-92.5,90.0,top
R9,91.0,-92.5,90.0,top
RV1_TONE1,103.5,-52.5,0.0,top
RV2_VOL1,117.0,-52.5,0.0,top
SW1,172.4,-79.04,0.0,top
SW2,166.0,-79.04,0.0,top
U1,114.459775,-78.19,0.0,top
U2,141.69,-67.69,0.0,top
